idAluno,IES,PRIMEIRA_PARCELA,NUM_DIAS_EM_ABERTO,NUM_PARCELAS_EM_ABERTO,VALOR_TOTAL_ABERTO,OBSERVACAO,DATA,idStatus,GLOSA
9791.0,UniABCD,2022-01-11,203,9,2641.72,nunca frequentou,,0,1
7705.0,UniABCD,2022-01-11,203,7,2117.36,formado,,1,1
7764.0,UniABCD,2022-01-11,203,7,2111.2,frequenta,,2,1
9734.0,UniABCD,2022-01-11,203,7,2004.52,frequenta,,2,1
9119.0,UniABCD,2022-01-11,203,7,1911.91,nunca frequentou,,0,1
8309.0,UniABCD,2022-01-11,203,7,2111.2,em conclusão,,3,1
8430.0,UniABCD,2022-05-11,199,7,1813.66,frequenta,,2,1
8609.0,UniABCD,2022-01-11,203,7,2111.2,em conclusão,,3,1
9714.0,UniABCD,2022-01-11,203,7,2117.36,frequenta,,2,1
7436.0,UniABCD,2022-01-11,203,7,2111.2,frequenta,,2,1
10983.0,UniABCD,2022-05-11,199,7,1750.0,nunca frequentou,,0,1
10289.0,UniABCD,2022-01-11,203,7,2111.2,frequenta,,2,1
9617.0,UniABCD,2022-01-11,203,7,2592.24,frequenta,,2,1
7742.0,UniABCD,2022-01-11,203,7,2111.2,nunca frequentou,,0,1
10543.0,UniABCD,2022-01-11,203,7,2940.91,frequenta,,2,1
10199.0,UniABCD,2022-01-11,203,7,2004.52,frequenta,,2,1
8894.0,UniABCD,2022-01-11,203,7,2940.91,frequenta,,2,1
7417.0,UniABCD,2022-01-11,203,7,2111.2,em conclusão,,3,1
8085.0,UniABCD,2022-01-11,203,7,1809.5,concluiu todas disciplinas,,4,1
9882.0,UniABCD,2022-01-11,203,7,2004.52,nunca frequentou,,0,1
9510.0,UniABCD,2022-01-11,203,7,1870.96,formado,,1,1
9153.0,UniABCD,2022-01-11,203,7,1870.96,formado,,1,1
10556.0,UniABCD,2022-01-11,203,7,1838.34,concluiu todas disciplinas,,4,1
9932.0,UniABCD,2022-01-11,203,7,2158.31,concluiu todas disciplinas,,4,1
10246.0,UniABCD,2022-01-11,203,7,2111.2,em conclusão,,3,1
8292.0,UniABCD,2022-01-11,203,7,2111.2,frequenta,,2,1
9258.0,UniABCD,2022-01-11,203,7,2940.91,frequenta,,2,1
8412.0,UniABCD,2022-05-11,199,7,2063.81,nunca frequentou,,0,1
8977.0,UniABCD,2022-01-11,203,7,2111.2,formado,,1,1
9440.0,UniABCD,2022-05-11,199,7,2063.81,nunca frequentou,,0,1
9008.0,UniABCD,2022-01-11,203,7,2117.36,frequenta,,2,1
9020.0,UniABCD,2022-01-11,203,7,2111.2,em conclusão,,3,1
8458.0,UniABCD,2022-01-11,203,7,2021.04,formado,,1,1
